"run","Assets","Defaulted Assets","tick"
3,1834398.8928889302,1773342.0148078548,176.0
3,1698390.6497591767,1901463.7955509876,177.0
3,1706143.7588041008,1901463.7955509876,178.0
3,1713896.8678490252,1901463.7955509876,179.0
3,1721649.9768939493,1901463.7955509876,180.0
3,1729403.0859388737,1901463.7955509876,181.0
3,1737156.194983798,1901463.7955509876,182.0
3,1620426.2370696252,1901463.7955509876,183.0
3,1627690.4429811207,1901463.7955509876,184.0
3,1634954.6488926162,1901463.7955509876,185.0
3,1642218.8548041119,1901463.7955509876,186.0
3,1649483.0607156078,1901463.7955509876,187.0
3,1656747.2666271036,1901463.7955509876,188.0
3,1664011.472538599,1901463.7955509876,189.0
3,1642437.0381847932,1901463.7955509876,190.0
3,1650136.5604800654,1901463.7955509876,191.0
3,1657836.0827753372,1901463.7955509876,192.0
3,1665535.6050706091,2030384.441763233,193.0
3,1672864.5356066732,2030384.441763233,194.0
3,1680193.466142737,2030384.441763233,195.0
3,1687522.396678801,2030384.441763233,196.0
3,1694851.327214865,2030384.441763233,197.0
3,1687271.7417664675,2030384.441763233,198.0
3,1695035.9886863078,2030384.441763233,199.0
3,1702800.235606148,2030384.441763233,200.0
3,1710564.4825259882,2030384.441763233,201.0
3,1718328.7294458284,2030384.441763233,202.0
3,1726092.9763656687,2030384.441763233,203.0
3,1733857.223285509,2030384.441763233,204.0
3,1741621.4702053494,2043287.5373228674,205.0
3,1748823.0418417216,2043287.5373228674,206.0
3,1756024.6134780943,2043287.5373228674,207.0
3,1763226.1851144666,2043287.5373228674,208.0
3,1769887.3831170902,2043287.5373228674,209.0
3,1776199.371982302,2146624.1367813055,210.0
3,1782145.4248755279,2146624.1367813055,211.0
3,1788091.4777687532,2146624.1367813055,212.0
3,1794037.530661979,2146624.1367813055,213.0
3,1799983.5835552048,2146624.1367813055,214.0
3,1805929.6364484308,2146624.1367813055,215.0
3,1811875.6893416562,2146624.1367813055,216.0
3,1817821.7422348817,2146624.1367813055,217.0
3,1823767.7951281075,2146624.1367813055,218.0
3,1829713.8480213333,2146624.1367813055,219.0
3,1835659.9009145591,2146624.1367813055,220.0
3,1841605.9538077847,2146624.1367813055,221.0
3,1847552.0067010103,2146624.1367813055,222.0
3,1853498.059594236,2146624.1367813055,223.0
3,1859444.1124874619,2146624.1367813055,224.0
3,1865390.1653806875,2146624.1367813055,225.0
3,1871336.2182739133,2146624.1367813055,226.0
3,1877282.2711671386,2146624.1367813055,227.0
3,1883228.3240603646,2211552.323652435,228.0
3,1758550.5276112542,2211552.323652435,229.0
3,1764454.046929883,2211552.323652435,230.0
3,1770357.5662485126,2211552.323652435,231.0
3,1776261.0855671414,2211552.323652435,232.0
3,1782164.6048857705,2211552.323652435,233.0
3,1699754.2209340967,2211552.323652435,234.0
3,1706035.0962138765,2211552.323652435,235.0
3,1712130.4640813451,2211552.323652435,236.0
3,1718225.8319488133,2211552.323652435,237.0
3,1724321.1998162817,2211552.323652435,238.0
3,1730416.5676837503,2211552.323652435,239.0
3,1736511.9355512187,2211552.323652435,240.0
5,3895131.049718201,0.0,0.0
5,3871908.794810637,0.0,1.0
5,3873264.3438291242,0.0,2.0
5,3874309.8299406874,0.0,3.0
5,3875976.4754091217,0.0,4.0
5,3877332.024427609,0.0,5.0
5,3878687.573446096,0.0,6.0
5,3879089.873357888,0.0,7.0
5,3856797.182068433,0.0,8.0
5,3859190.101028406,0.0,9.0
5,3861281.891590124,0.0,10.0
5,3863254.8978788024,0.0,11.0
5,3838558.7604258046,0.0,12.0
5,3829914.636635018,0.0,13.0
5,3797852.333618368,0.0,14.0
5,3706355.4408852984,0.0,15.0
5,3654338.066273422,0.0,16.0
5,3574185.0734345554,0.0,17.0
5,3505773.2403114005,10860.382120579718,18.0
5,3510091.6766329524,10860.382120579718,19.0
5,3514410.112954505,10860.382120579718,20.0
5,3518501.2446839865,10860.382120579718,21.0
5,3522351.1635286277,10860.382120579718,22.0
5,3412558.799632432,10860.382120579718,23.0
5,3417459.7646983867,10860.382120579718,24.0
5,3422360.7297643414,10868.401373273715,25.0
5,3406158.5423832494,83437.62999781434,26.0
5,3410703.251539766,83437.62999781434,27.0
5,3415247.9606962814,83437.62999781434,28.0
5,3419792.6698527974,116224.25369826853,29.0
5,3424110.4324284173,116224.25369826853,30.0
5,3401481.9373338567,116224.25369826853,31.0
5,3406352.8639729777,116224.25369826853,32.0
5,3364830.0081102042,116224.25369826853,33.0
5,3280027.570530831,116224.25369826853,34.0
5,3286278.6662349575,116224.25369826853,35.0
5,3292529.761939084,116224.25369826853,36.0
5,3298780.8576432113,116224.25369826853,37.0
5,3305031.9533473374,146613.08736970156,38.0
