run,TotalPercentChange,,,
11,-2.59,,,
11,0.09,,,
11,0.09,,,
11,7.39,,,
11,-6.72,,,
11,0.09,,,
11,0.09,,,
11,0.09,,,
11,0.09,,,
11,0.09,,,
11,0.08,,,
11,0.08,,,
11,0.08,,,
11,3.84,,,
11,0.02,,,
11,6.66,,,
11,-9.42,,,
11,6.46,,,
11,-5.91,,,
11,0.08,,,
11,0.08,,,
11,6.32,,,
11,-5.79,,,
11,0.08,,,
11,0.08,,,
11,6.10,,,
11,-2.88,,,
11,4.18,,,
11,-6.53,,,
11,0.08,,,
11,0.08,,,
11,6.01,,,
11,-5.51,,,
11,-2.67,,,
11,0.08,,,
11,0.08,,,
11,0.08,,,
11,0.08,,,
11,0.08,,,
11,0.08,,,
11,2.04,,,
11,-1.85,,,
11,0.08,,,
11,0.08,,,
11,0.08,,,
11,2.04,,,
11,-1.85,,,
11,0.07,,,
11,0.07,,,
11,0.07,,,
11,0.07,,,
11,0.07,,,
11,0.07,,,
11,0.07,,,
11,4.39,,,
11,-4.06,,,
11,0.07,,,
11,-7.65,,,
11,2.01,,,
11,-1.87,,,
11,0.05,,,
11,0.05,,,
11,0.05,,,
11,0.05,,,
11,0.05,,,
11,0.05,,,
11,0.05,,,
11,0.05,,,
2,0.00,,,
2,0.15,,,
2,0.22,,,
2,0.43,,,
2,-0.80,,,
2,2.03,,,
2,-0.31,,,
2,0.90,,,
2,0.07,,,
2,-1.27,,,
2,1.22,,,
2,-1.79,,,
2,0.11,,,
2,2.17,,,
2,-1.76,,,
2,-0.94,,,
2,0.64,,,
2,1.60,,,
2,0.21,,,
2,0.03,,,
2,-1.84,,,
2,-1.11,,,
2,0.76,,,
2,1.37,,,
2,-0.42,,,
2,-0.34,,,
2,0.22,,,
2,0.35,,,
2,0.05,,,
2,-1.62,,,
2,0.20,,,
2,2.26,,,
2,-1.83,,,
2,2.72,,,
2,-0.56,,,
2,-0.30,,,
2,0.19,,,
2,-0.96,,,
2,0.21,,,
2,0.21,,,
2,1.31,,,
2,2.43,,,
2,-3.02,,,
2,2.04,,,
2,-0.27,,,
2,-1.54,,,
2,0.22,,,
2,3.85,,,
2,-3.28,,,
2,0.22,,,
2,1.24,,,
2,1.00,,,
2,-1.57,,,
2,2.20,,,
2,-0.16,,,
