run,Defaulted Assets,Net Assets,Remaining Bank Assets,Bank Defaults
1,1000515.93533635,3588667.59576852,1630316.80003581,0
1,1000515.93533635,3595195.43175429,1646048.81955325,0
1,1000515.93533635,3601692.5871283,1661780.8390707,0
1,1000515.93533635,3608158.95962182,1677512.85858814,0
1,1000515.93533635,3614594.44662527,1693244.87810558,0
1,1000515.93533635,3620998.945187,1708976.89762303,0
1,1000515.93533635,3627372.35201221,1724708.91714047,0
1,1000515.93533635,3633714.56346179,1740440.93665791,0
1,1000515.93533635,3640025.47555113,1756172.95617536,0
1,1000515.93533635,3646304.98394905,1771904.9756928,0
1,1000515.93533635,3652552.98397657,1787636.99521025,0
1,1000515.93533635,3658769.3706058,1803369.01472769,0
1,1000515.93533635,3664954.03845872,1819101.03424513,0
1,1000515.93533635,3671106.8818061,1834833.05376258,0
1,1000515.93533635,3677227.79456625,1850464.12363538,0
1,1000515.93533635,3683317.00680268,1837602.811602,0
1,1000515.93533635,3689469.38745335,1704836.51448214,0
1,1000515.93533635,3696084.83036326,1720753.36997907,0
1,1000515.93533635,3702669.26856454,1736670.22547599,0
1,1000515.93533635,3709222.59870816,1752587.08097292,0
1,1000515.93533635,3715744.71710062,1768503.93646984,0
1,1000515.93533635,3722235.51970272,1784420.79196676,0
1,1000515.93533635,3728694.9021285,1800337.64746369,0
1,1000515.93533635,3735122.75964405,1815381.10069421,0
1,1000515.93533635,3741521.89850722,1830280.3804139,0
1,1000515.93533635,3747892.70356753,1845179.66013358,0
1,1000515.93533635,3754235.08037898,1860078.93985326,0
1,1000515.93533635,3760548.93418073,1874978.21957294,0
1,1000515.93533635,3766834.16989609,1889877.49929262,0
1,1000515.93533635,3773090.69213143,1904505.06135528,0
1,1000515.93533635,3779319.31090069,1918520.56182241,0
1,1000515.93533635,3785521.97339762,1932536.06228953,0
1,1000515.93533635,3791698.59310131,1946551.56275666,0
1,1000515.93533635,3797849.08320246,1960567.06322379,0
1,1000515.93533635,3803973.35660239,1974582.56369091,0
1,1000515.93533635,3810071.32591209,1988598.06415804,0
